id,date,id_day,negative,positive,sentiment
644,2023-04-12,3,8,8,0
645,2023-04-13,1,8,23,15
646,2023-04-14,1,8,5,-3
647,2023-04-15,1,4,10,6
648,2023-04-16,1,3,18,15
649,2023-04-17,1,5,6,1
650,2023-04-18,1,0,12,12
651,2023-04-19,1,0,10,10
652,2023-04-20,1,7,45,38
653,2023-04-20,2,3,23,20
654,2023-04-21,1,14,18,4
655,2023-04-21,2,1,19,18
656,2023-04-22,1,1,6,5
657,2023-04-23,1,0,23,23
658,2023-04-24,1,2,8,6
659,2023-04-25,1,2,6,4
660,2023-04-26,1,11,23,12
661,2023-04-26,2,1,19,18
662,2023-04-27,1,11,4,-7
663,2023-04-28,1,8,7,-1
664,2023-04-29,1,2,10,8
665,2023-04-30,1,0,13,13
666,2023-05-01,1,7,24,17
667,2023-05-02,1,0,11,11
668,2023-05-04,1,5,12,7
669,2023-05-04,2,2,8,6
670,2023-05-05,1,2,26,24
671,2023-05-05,2,3,27,24
672,2023-05-06,1,0,23,23
673,2023-05-07,1,3,25,22
674,2023-05-08,1,14,35,21
675,2023-05-08,2,4,19,15
676,2023-05-09,1,7,4,-3
677,2023-05-09,2,4,16,12
678,2023-05-10,1,1,21,20
679,2023-05-11,1,2,28,26
680,2023-05-12,1,2,7,5
681,2023-05-13,1,2,12,10
682,2023-05-14,1,7,69,62
683,2023-05-15,1,2,19,17
684,2023-05-16,1,2,9,7
685,2023-05-16,2,2,1,-1
686,2023-05-17,1,2,10,8
687,2023-05-18,1,0,9,9
688,2023-05-18,2,6,14,8
689,2023-05-19,1,0,18,18
690,2023-05-20,1,1,17,16
691,2023-05-21,1,2,26,24
692,2023-05-21,2,4,3,-1
693,2023-05-21,3,8,21,13
694,2023-05-21,4,2,21,19
695,2023-05-22,1,0,5,5
696,2023-05-23,1,0,18,18
697,2023-05-24,1,8,8,0
698,2023-05-25,1,1,8,7
699,2023-05-25,2,1,13,12
700,2023-05-25,3,7,13,6
701,2023-05-26,1,2,6,4
702,2023-05-27,1,1,8,7
703,2023-05-28,1,2,12,10
704,2023-05-29,1,1,10,9
705,2023-05-29,2,3,6,3
706,2023-05-30,1,5,12,7
707,2023-05-31,1,2,18,16
708,2023-05-31,2,2,7,5
